                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.2616,                 0.9001,                 1.1636,                0.59947,                0.83122,                0.76021,                0.35915,                 1.7527,                  1.111,                 1.5867,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.2501,                 0.9075,                 1.1365,                0.61605,                0.78375,                0.76321,                0.37797,                 1.7455,                 1.0951,                 1.5713,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.1664,                0.83005,                 1.0856,                0.88789,                0.62581,                0.76032,                0.38844,                 1.6636,                 1.1003,                 1.5095,              0.0008996,              0.0008996,              0.0008996
                     95,                   1.27,                0.96647,                 1.1167,                0.80332,                0.71377,                0.77323,                0.42323,                 1.5681,                 1.0396,                 1.4393,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.2882,                0.83407,                 1.1391,                0.85742,                0.66125,                0.78259,                0.39648,                 1.6288,                 1.1029,                 1.4655,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.2223,                0.88026,                 1.1114,                0.64559,                0.69289,                0.76901,                 0.3066,                 2.0183,                 1.2789,                 1.7226,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.2531,                0.86447,                  1.089,                0.77825,                0.71574,                0.76266,                0.26878,                 2.0917,                 1.3235,                  1.789,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.2339,                0.91798,                 1.1093,                0.71531,                0.76375,                0.76479,                0.25768,                 2.1224,                 1.3114,                 1.8344,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.2256,                0.88609,                 1.1378,                0.65431,                 0.7525,                0.74969,                0.25868,                 2.0302,                 1.3106,                 1.7566,             0.00085009,             0.00085009,             0.00085009
                    101,                 1.1929,                0.87041,                 1.1122,                0.59607,                0.80375,                0.75189,                0.31401,                 1.8555,                 1.1865,                 1.6042,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.1846,                  0.806,                 1.1263,                0.65653,                 0.7325,                0.75319,                0.38103,                 1.6308,                 1.1429,                 1.4497,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.1526,                0.80452,                 1.0964,                0.66817,                 0.7125,                0.74594,                0.38067,                  1.545,                 1.1582,                 1.4028,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.1621,                0.82584,                 1.1353,                0.64324,                0.71111,                0.73704,                0.38349,                 1.5899,                 1.1533,                 1.4605,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.1627,                0.79249,                 1.1092,                 0.6888,                 0.6325,                0.70824,                 0.3562,                 1.5949,                 1.2789,                 1.4568,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.1794,                0.75436,                 1.0993,                0.73549,                0.60534,                0.69816,                0.35538,                 1.5736,                 1.3514,                 1.4338,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.1262,                0.74878,                 1.0677,                0.71629,                 0.5925,                0.69111,                0.37363,                 1.5253,                 1.3045,                 1.3962,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.1772,                0.81351,                 1.0877,                0.69196,                0.69368,                0.74668,                0.42689,                 1.4494,                 1.0745,                 1.4011,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.1498,                 0.7896,                 1.1523,                 0.6782,                0.74375,                0.76928,                0.43122,                 1.4689,                 1.0687,                 1.4178,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.1358,                0.80129,                   1.11,                0.71115,                0.75129,                0.75323,                0.40238,                 1.5797,                 1.1585,                 1.4611,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.1938,                 0.7615,                 1.0977,                0.69077,                 0.7406,                0.76359,                0.40437,                 1.6504,                 1.2633,                 1.5044,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.1456,                0.75551,                 1.0986,                0.60277,                 0.8575,                0.74993,                0.41951,                  1.513,                 1.2483,                 1.4196,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.1656,                 0.8041,                 1.0841,                0.69271,                0.72314,                0.76209,                 0.4426,                 1.4579,                 1.1535,                 1.3729,             0.00074282,             0.00074282,             0.00074282
                    114,                 1.1667,                0.78258,                 1.0925,                0.65575,                0.70452,                0.76921,                0.42526,                 1.4732,                 1.0915,                 1.3651,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.1284,                0.80468,                 1.0701,                0.66628,                0.73756,                0.75533,                0.41215,                 1.5812,                 1.1094,                 1.4058,             0.00072631,             0.00072631,             0.00072631
                    116,                  1.109,                0.72762,                 1.0433,                0.67906,                0.70375,                 0.7244,                0.38068,                 1.6223,                 1.1349,                 1.4702,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.0807,                0.76009,                 1.0439,                0.68264,                0.72191,                0.71679,                0.37988,                 1.5484,                 1.1334,                 1.4446,             0.00070981,             0.00070981,             0.00070981
                    118,                 1.1325,                0.76383,                 1.0664,                0.65989,                0.71576,                0.70311,                0.37646,                 1.5337,                 1.1215,                 1.4425,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.0578,                0.78015,                 1.0708,                0.59563,                 0.7894,                0.69854,                0.38016,                 1.5312,                 1.1166,                  1.446,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.1008,                0.72829,                 1.0974,                0.59844,                  0.755,                 0.7173,                0.37309,                 1.6392,                 1.1614,                  1.522,             0.00068505,             0.00068505,             0.00068505
                    121,                  1.083,                0.71572,                 1.0613,                0.64843,                0.70445,                0.73652,                0.39585,                 1.6011,                 1.1578,                 1.5029,              0.0006768,              0.0006768,              0.0006768
                    122,                 1.0915,                0.73121,                 1.0793,                0.67195,                  0.735,                0.74056,                0.38997,                 1.6191,                 1.1658,                 1.5175,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.0319,                0.67206,                 1.0747,                0.67835,                0.73096,                0.74906,                0.38912,                 1.6376,                 1.1495,                 1.5386,              0.0006603,              0.0006603,              0.0006603
                    124,                 1.1182,                0.74478,                 1.0595,                0.64622,                0.74911,                0.79455,                 0.4296,                 1.5984,                 1.1118,                 1.5297,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.0627,                0.71582,                 1.0828,                0.63789,                0.76665,                0.79467,                0.44771,                 1.5318,                 1.1317,                  1.473,              0.0006438,              0.0006438,              0.0006438
                    126,                0.99945,                0.64598,                  1.036,                0.65482,                0.70469,                0.79898,                0.46087,                 1.4768,                 1.1375,                 1.4296,             0.00063554,             0.00063554,             0.00063554
                    127,                 1.0514,                0.70136,                  1.031,                0.66407,                0.68375,                0.79262,                0.44143,                 1.5233,                 1.1496,                 1.4457,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.0185,                0.65168,                  1.029,                0.69316,                  0.675,                0.76923,                0.41796,                 1.6545,                 1.1792,                 1.4923,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.0342,                0.71408,                 1.0233,                0.60293,                  0.755,                 0.7628,                0.39845,                 1.6811,                 1.1358,                 1.5156,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.0506,                0.68671,                 1.0441,                0.62828,                0.76113,                0.75309,                0.38368,                 1.7189,                 1.1327,                 1.5392,             0.00060254,             0.00060254,             0.00060254
                    131,                0.97776,                0.67398,                  1.009,                0.67462,                 0.7525,                0.74525,                0.35907,                 1.7594,                 1.1629,                 1.5916,             0.00059429,             0.00059429,             0.00059429
                    132,                0.98502,                0.67379,                 1.0089,                0.69136,                 0.7525,                0.76258,                0.37693,                 1.7017,                 1.1435,                 1.5169,             0.00058603,             0.00058603,             0.00058603
                    133,                  1.097,                0.71236,                 1.0566,                0.79348,                0.58243,                0.77134,                0.39615,                 1.6753,                 1.1387,                  1.517,             0.00057778,             0.00057778,             0.00057778
                    134,                  1.006,                0.63822,                 1.0133,                0.58057,                0.80885,                0.76453,                0.38657,                 1.6864,                 1.1927,                 1.5296,             0.00056953,             0.00056953,             0.00056953
                    135,                  1.008,                0.67414,                 1.0302,                0.65017,                0.66974,                0.77193,                0.38307,                 1.7121,                 1.2629,                  1.525,             0.00056128,             0.00056128,             0.00056128
                    136,                 1.0407,                 0.6515,                 1.0284,                0.61551,                 0.7125,                0.75422,                0.39509,                 1.6381,                 1.2544,                 1.4855,             0.00055303,             0.00055303,             0.00055303
                    137,                 1.0012,                0.63548,                0.99817,                0.65742,                0.71089,                0.75643,                0.41378,                  1.542,                 1.1734,                 1.4414,             0.00054478,             0.00054478,             0.00054478
                    138,                  1.014,                0.68448,                  1.071,                0.57698,                0.81306,                0.76777,                0.42467,                 1.5377,                 1.1357,                  1.443,             0.00053652,             0.00053652,             0.00053652
                    139,                0.96653,                0.60955,                0.99033,                0.59843,                0.82625,                0.77865,                0.42828,                 1.5675,                 1.1528,                  1.472,             0.00052827,             0.00052827,             0.00052827
                    140,                0.99917,                0.66984,                 1.0215,                0.62708,                0.80625,                0.78769,                0.41162,                 1.6547,                 1.1945,                 1.5605,             0.00052002,             0.00052002,             0.00052002
                    141,                0.99449,                0.66443,                  1.052,                0.64813,                  0.775,                0.78578,                0.40573,                 1.6871,                 1.1859,                 1.6124,             0.00051177,             0.00051177,             0.00051177
                    142,                 1.0061,                0.68094,                 1.0578,                0.65227,                  0.775,                0.77612,                 0.3919,                  1.673,                 1.1823,                 1.5916,             0.00050352,             0.00050352,             0.00050352
                    143,                0.94162,                0.61391,                 1.0013,                0.61727,                0.77036,                0.76086,                0.39348,                 1.6547,                 1.1688,                 1.5772,             0.00049527,             0.00049527,             0.00049527
                    144,                0.96105,                  0.623,                  1.008,                0.62599,                0.78835,                0.75648,                0.41461,                 1.5893,                 1.1877,                 1.5261,             0.00048701,             0.00048701,             0.00048701
                    145,                 1.0019,                0.65819,                 1.0189,                0.59299,                0.77468,                0.74351,                0.40016,                 1.5812,                 1.2395,                 1.5037,             0.00047876,             0.00047876,             0.00047876
                    146,                0.91291,                0.63229,                0.98596,                0.49578,                0.82633,                0.63068,                0.34394,                  1.596,                 1.3323,                 1.5013,             0.00047051,             0.00047051,             0.00047051
                    147,                0.91005,                0.60455,                 1.0319,                0.52006,                0.69639,                0.62433,                0.33395,                 1.6226,                 1.3641,                 1.5152,             0.00046226,             0.00046226,             0.00046226
                    148,                 0.9432,                0.62353,                 1.0095,                 0.5145,                0.70962,                0.68046,                0.36391,                 1.6089,                  1.394,                 1.5194,             0.00045401,             0.00045401,             0.00045401
                    149,                0.90843,                0.56587,                0.97733,                  0.593,                   0.59,                0.67225,                0.37445,                 1.5747,                 1.4158,                 1.4995,             0.00044576,             0.00044576,             0.00044576
                    150,                0.92506,                0.59649,                 1.0047,                0.62401,                0.60485,                0.65017,                0.35864,                 1.5651,                 1.4673,                 1.4818,              0.0004375,              0.0004375,              0.0004375
                    151,                0.90337,                 0.6132,                0.98982,                0.60151,                0.58086,                0.63332,                0.34536,                 1.5689,                 1.5134,                 1.4774,             0.00042925,             0.00042925,             0.00042925
