                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0777,                0.75757,                  1.063,                0.59281,                0.74945,                0.65542,                0.33119,                 1.8863,                 1.4266,                  1.823,              0.0014822,              0.0014822,              0.0014822
                     58,                 1.0158,                0.72506,                 1.0445,                0.68863,                0.64127,                 0.6603,                0.34475,                 1.7713,                 1.3603,                 1.7134,              0.0014789,              0.0014789,              0.0014789
                     59,                0.99786,                0.70144,                 1.0676,                0.66064,                0.67606,                 0.6768,                 0.3617,                 1.6745,                 1.3062,                 1.6323,              0.0014756,              0.0014756,              0.0014756
                     60,                 1.0781,                0.75065,                 1.0372,                0.67407,                0.74375,                0.77123,                0.39291,                 1.6921,                 1.2275,                 1.5875,              0.0014723,              0.0014723,              0.0014723
                     61,                 1.0052,                  0.689,                 1.0305,                0.65335,                0.76375,                0.76989,                0.40674,                 1.7199,                 1.1878,                 1.5883,               0.001469,               0.001469,               0.001469
                     62,                 1.0639,                  0.684,                 1.0968,                0.70909,                0.68586,                0.76744,                 0.4079,                 1.6741,                 1.1257,                 1.5486,              0.0014657,              0.0014657,              0.0014657
                     63,                  1.043,                0.71511,                 1.0839,                0.70746,                0.79531,                0.76918,                0.42215,                 1.5892,                 1.0891,                 1.5448,              0.0014624,              0.0014624,              0.0014624
                     64,                0.98693,                0.66072,                 1.0075,                0.71129,                0.77345,                0.77487,                0.40983,                 1.7228,                 1.0841,                 1.6992,              0.0014591,              0.0014591,              0.0014591
                     65,                 1.0101,                0.64714,                 1.0275,                0.75543,                0.71692,                0.78134,                0.39584,                  1.744,                 1.0623,                 1.6985,              0.0014558,              0.0014558,              0.0014558
                     66,                 1.0278,                0.68326,                 1.0703,                0.90395,                0.72125,                0.83839,                0.43015,                 1.6961,                 1.0233,                 1.6702,              0.0014525,              0.0014525,              0.0014525
                     67,                 1.0213,                0.64252,                  1.049,                0.85703,                 0.7725,                0.86861,                0.48091,                 1.5508,                0.93192,                 1.5991,              0.0014492,              0.0014492,              0.0014492
                     68,                0.98823,                0.64708,                 1.0299,                 0.7385,                0.80342,                0.85706,                0.46763,                 1.6377,                0.90393,                 1.6038,              0.0014459,              0.0014459,              0.0014459
                     69,                 1.0051,                0.67767,                 1.0222,                0.71336,                  0.775,                0.82871,                0.40929,                 1.7933,                 0.9943,                  1.695,              0.0014426,              0.0014426,              0.0014426
                     70,                0.99734,                0.61066,                 1.0286,                0.66808,                0.84096,                0.84483,                0.39311,                 1.8746,                  1.084,                 1.7981,              0.0014393,              0.0014393,              0.0014393
                     71,                0.92581,                0.61009,                 1.0164,                0.59572,                0.80905,                 0.7477,                0.34771,                 1.9533,                 1.1721,                 1.8949,               0.001436,               0.001436,               0.001436
                     72,                0.91487,                0.68704,                0.98856,                0.57999,                0.80124,                0.71881,                0.33951,                 1.7954,                 1.4166,                 1.7866,              0.0014327,              0.0014327,              0.0014327
                     73,                0.96302,                0.65481,                 1.0533,                0.54771,                 0.8375,                 0.7088,                0.37114,                 1.7004,                 1.3614,                 1.6916,              0.0014294,              0.0014294,              0.0014294
                     74,                0.96903,                0.66645,                  1.015,                0.68466,                0.66791,                0.69868,                0.38772,                 1.5392,                 1.1919,                 1.5506,              0.0014261,              0.0014261,              0.0014261
                     75,                0.97367,                0.67417,                 1.0397,                0.71795,                 0.6725,                0.73466,                0.42412,                 1.5019,                 1.1027,                 1.5391,              0.0014228,              0.0014228,              0.0014228
                     76,                 1.0041,                0.69034,                0.98448,                0.67715,                0.56125,                0.70803,                0.36709,                 1.6502,                 1.4798,                 1.6652,              0.0014195,              0.0014195,              0.0014195
                     77,                    0.9,                0.63883,                0.99357,                0.64003,                0.65803,                0.71923,                0.37156,                 1.6969,                 1.4003,                  1.702,              0.0014161,              0.0014161,              0.0014161
                     78,                 0.9607,                0.65835,                 1.0061,                0.72478,                0.66822,                0.72079,                0.39943,                 1.5884,                 1.2248,                 1.6039,              0.0014128,              0.0014128,              0.0014128
                     79,                0.93292,                0.66508,                0.99956,                0.73257,                 0.7325,                0.75799,                0.42797,                 1.4739,                 1.1525,                 1.5171,              0.0014095,              0.0014095,              0.0014095
                     80,                0.96197,                0.66081,                  1.015,                0.70426,                0.68125,                0.69324,                0.41245,                 1.5881,                   1.31,                 1.6161,              0.0014062,              0.0014062,              0.0014062
                     81,                0.93722,                0.64192,                 1.0105,                0.75447,                0.68125,                0.72888,                0.40469,                 1.6569,                 1.2995,                 1.6858,              0.0014029,              0.0014029,              0.0014029
                     82,                0.95653,                0.62114,                 1.0001,                0.66421,                 0.6928,                0.72713,                 0.3843,                  1.677,                  1.232,                 1.6796,              0.0013996,              0.0013996,              0.0013996
                     83,                0.87056,                0.59579,                0.97193,                0.60457,                0.80687,                0.70368,                0.38198,                 1.6059,                 1.2707,                 1.6018,              0.0013963,              0.0013963,              0.0013963
                     84,                0.93006,                0.61525,                 1.0321,                0.62578,                  0.675,                0.67055,                0.35087,                 1.7265,                 1.4953,                 1.6373,               0.001393,               0.001393,               0.001393
                     85,                0.96468,                0.62498,                 1.0101,                0.59146,                0.74625,                0.66602,                 0.3464,                 1.7659,                 1.4538,                 1.6614,              0.0013897,              0.0013897,              0.0013897
                     86,                0.92796,                0.63639,                 1.0013,                0.59707,                  0.735,                0.67127,                0.35209,                 1.6955,                 1.4225,                 1.6207,              0.0013864,              0.0013864,              0.0013864
                     87,                 0.9253,                0.64165,                 0.9855,                0.63124,                  0.735,                0.67984,                0.34915,                 1.6447,                 1.3628,                 1.6167,              0.0013831,              0.0013831,              0.0013831
                     88,                0.93176,                0.64814,                0.98664,                0.64099,                  0.735,                0.67196,                0.35429,                 1.6477,                  1.388,                 1.5909,              0.0013798,              0.0013798,              0.0013798
                     89,                0.95621,                0.65516,                 1.0052,                0.61573,                0.64968,                0.66207,                 0.3525,                 1.6733,                 1.4229,                 1.6159,              0.0013765,              0.0013765,              0.0013765
                     90,                 0.9338,                 0.6407,                0.98879,                0.62958,                0.66566,                0.67252,                0.37096,                 1.5812,                 1.3491,                 1.5977,              0.0013732,              0.0013732,              0.0013732
                     91,                0.94584,                0.68961,                 1.0332,                 0.6073,                0.71302,                0.67783,                 0.3607,                 1.5519,                 1.3728,                 1.5974,              0.0013699,              0.0013699,              0.0013699
                     92,                 0.9217,                0.62993,                 1.0086,                 0.6324,                0.63458,                0.63822,                0.31547,                 1.6815,                 1.5437,                  1.689,              0.0013666,              0.0013666,              0.0013666
